City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
369,Catuday,PH,82.81,16.29,119.81,GResort
370,Nouadhibou,MR,77.0,20.93,-17.03,El Medina
371,Dahuk,IQ,86.65,36.87,42.99,Parwar Hotel
374,Praia,CV,86.0,14.92,-23.51,LT Aparthotel
375,Pochutla,MX,82.4,15.74,-96.47,Hotel Posada San Jose
376,Phulpur,IN,83.43,25.55,82.1,Ramnath Guest House
379,Horadiz,AZ,78.8,39.45,47.34,Horadiz Olympic Center
380,Lorengau,PG,83.17,-2.02,147.27,Lorengau Harbourside Hotel
383,Nabire,ID,77.59,-3.37,135.48,Hotel Nusantara Nabire
385,Sur,OM,84.94,22.57,59.53,Sur Plaza Hotel
389,Tutoia,BR,83.61,-2.76,-42.27,Pousada Guará's
391,Roma,US,84.2,43.21,-75.46,Wingate By Wyndham Rome
393,Sarangani,PH,84.18,5.4,125.46,Ballistic Islet
394,Kahului,US,78.8,20.89,-156.47,Maui Seaside Hotel
400,Male,MV,84.2,4.17,73.51,Hotel Octave Maldives
402,Libreville,GA,78.8,0.39,9.45,Hotel Re-Ndama
405,Balkanabat,TM,89.35,39.51,54.37,Nebitchi Hotel
406,Kutum,SD,83.64,14.2,24.67,Dibbo areaمنطقة دبو
407,Cayenne,GF,78.8,4.93,-52.33,Hôtel Le Dronmi
409,Yarada,IN,84.2,17.65,83.27,"D-26/2, Dolphin Hill,"
411,Venice,US,90.0,27.1,-82.45,A Beach Retreat
413,Tual,ID,80.8,-5.67,132.75,Grand Vilia Hotel
415,Havre-Saint-Pierre,CA,75.2,50.23,-63.6,Auberge Niapiskau
416,Kotaparh,IN,75.67,19.15,82.35,Bablu Bikash Marg
421,Itoman,JP,82.4,26.12,127.67,Southern Beach Hotel & Resort Okinawa
422,Tucuma,BR,83.95,-0.18,-50.05,
424,Abapo,BO,88.43,-18.83,-63.47,
425,Ukiah,US,79.0,39.15,-123.21,Hampton Inn Ukiah
426,Russell,US,84.2,32.35,-85.2,Macs
429,Nanakuli,US,77.0,21.39,-158.15,Camp Palehua
434,Rodrigues Alves,BR,87.8,-7.74,-72.65,Hotel José Pereira
436,Bubaque,GW,82.04,11.28,-15.83,Casa Dora
437,Zheleznodorozhnyy,RU,82.0,55.75,38.0,Hotel Dali
438,Polewali,ID,76.86,-3.43,119.34,Lilianto Hotel
439,Zatoka,UA,78.8,46.07,30.47,Solnechnaya
448,Laguna,US,84.99,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
449,Olinda,BR,84.2,-8.01,-34.86,Hotel 5 Sóis
451,Port Hawkesbury,CA,87.8,45.62,-61.35,MacKenzie House Tourist Home B&B
452,Bairiki,KI,77.0,1.33,172.98,Tarawa Boutique Hotel
454,Gumdag,TM,89.1,39.21,54.59,
456,Laksham,BD,79.09,23.25,91.14,MRI ROBEL
458,Dingle,PH,76.3,11.0,122.67,Camp Pasica
462,Natal,BR,78.8,-5.79,-35.21,Villa Park Hotel | Natal
464,Posse,BR,79.83,-14.09,-46.37,Pousada das Palmeiras
468,Kieta,PG,78.96,-6.22,155.63,
471,Macherla,IN,78.03,16.48,79.43,Vivek express
475,Leon,MX,75.2,21.12,-101.67,Hotel Misión León
486,San Cristobal,VE,87.8,7.77,-72.22,Pirineos
493,Pacific Grove,US,79.0,36.62,-121.92,Lovers Point Inn
495,Ilhabela,BR,75.54,-23.78,-45.36,Ilha Flat Hotel
497,The Valley,AI,89.6,18.22,-63.06,CeBlue Villas & Beach Resort
503,Namatanai,PG,79.84,-3.67,152.43,Namatanai Hotel
506,Jamtara,IN,84.06,23.95,86.8,Educare Hostel Rajpalli
507,Sangre Grande,TT,89.6,10.58,-61.12,"La Aurora Housing Development, Bravo Hill Sangre Grande"
513,Eyl,SO,82.71,7.98,49.82,Amiin Hotel
516,Lucea,JM,88.0,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
517,Goundi,TD,81.48,9.36,17.37,
523,Coruripe,BR,79.12,-10.13,-36.18,Pousada e Hotel Litoral Sul
524,Galle,LK,81.68,6.04,80.22,CocoBay Unawatuna
525,Sibu,MY,77.0,2.3,111.82,RH HOTEL (4 Star)
530,Mangrol,IN,85.24,21.12,70.12,Hotel The Royal Honours
532,Keshod,IN,85.21,21.3,70.25,Hotel New Rajdhani
541,Wanning,CN,81.55,18.8,110.4,Paradise Hotel
542,Porto Novo,BJ,78.8,6.5,2.6,Tour Eiffel Hotel Benin
546,Larsnes,NO,75.2,62.2,5.58,Liset Feriesenter AS
547,Tingo Maria,PE,82.4,-9.29,-76.01,Hospedaje Paraíso
548,Kigoma,TZ,77.0,-4.88,29.63,Kigoma Hilltop Hotel
564,Elmira,US,87.01,42.09,-76.81,Holiday Inn Elmira - Horseheads
568,Mazamari,PE,86.07,-11.33,-74.53,Hospedaje Ratto
570,Tongzhou,CN,79.0,39.91,116.6,Inner Mongolia Hotel
572,Luanda,AO,75.2,-8.84,13.23,EPIC SANA Luanda
574,Gazli,UZ,79.3,40.13,63.45,
